Angle,Intensity
0.21000,2669204.0
0.22000,2740664.0
0.23000,2846453.0
0.24000,2922967.0
0.25000,2985403.0
0.26000,3033815.0
0.27000,3102859.0
0.28000,3213689.0
0.29000,3297611.0
0.30000,3392414.0
0.31000,3473943.0
0.32000,3544686.0
0.33000,3641394.0
0.34000,3749863.0
0.35000,3821603.0
0.36000,3870622.0
0.37000,3951788.0
0.38000,4091190.0
0.39000,4228571.0
0.40000,4339761.0
0.41000,4451261.0
0.42000,4560835.0
0.43000,4646304.0
0.44000,4793524.0
0.45000,4895668.0
0.46000,4958474.0
0.47000,5068985.0
0.48000,5244541.0
0.49000,5387599.0
0.50000,5539464.0
0.51000,5643804.0
0.52000,5742281.0
0.53000,5845775.0
0.54000,5892547.0
0.55000,5902916.0
0.56000,5861379.0
0.57000,5847598.0
0.58000,5881900.0
0.59000,5805833.0
0.60000,5690331.0
0.61000,5489495.0
0.62000,5267546.0
0.63000,4985426.0
0.64000,4616513.0
0.65000,4136307.0
0.66000,3587082.0
0.67000,2982728.0
0.68000,2340171.0
0.69000,1721222.0
0.70000,1233448.0
0.71000,906111.0
0.72000,703367.0
0.73000,554400.0
0.74000,407923.0
0.75000,263832.0
0.76000,148682.0
0.77000,85051.0
0.78000,74366.0
0.79000,96967.0
0.80000,126911.0
0.81000,142167.0
0.82000,134498.0
0.83000,106466.0
0.84000,70672.0
0.85000,37413.0
0.86000,15592.0
0.87000,8107.0
0.88000,13429.0
0.89000,26676.0
0.90000,41749.0
0.91000,54619.0
0.92000,59988.0
0.93000,59256.0
0.94000,52729.0
0.95000,43430.0
0.96000,33761.0
0.97000,25899.0
0.98000,21581.0
0.99000,20187.0
1.00000,22256.0
1.01000,25498.0
1.02000,29360.0
1.03000,31995.0
1.04000,33310.0
1.05000,33021.0
1.06000,31910.0
1.07000,29258.0
1.08000,25933.0
1.09000,23051.0
1.10000,21277.0
1.11000,19849.0
1.12000,18761.0
1.13000,18912.0
1.14000,19361.0
1.15000,19445.0
1.16000,20518.0
1.17000,20419.0
1.18000,19948.0
1.19000,19159.0
1.20000,18317.0
1.21000,17337.0
1.22000,16332.0
1.23000,15199.0
1.24000,14322.0
1.25000,13894.0
1.26000,13554.0
1.27000,12984.0
1.28000,12927.0
1.29000,12539.0
1.30000,12716.0
1.31000,12242.0
1.32000,12148.0
1.33000,11342.0
1.34000,11061.0
1.35000,10348.0
1.36000,9757.0
1.37000,9313.0
1.38000,8948.0
1.39000,8782.0
1.40000,8344.0
1.41000,8139.0
1.42000,7910.0
1.43000,7566.0
1.44000,7455.0
1.45000,7196.0
1.46000,6921.0
1.47000,6732.0
1.48000,6366.0
1.49000,5997.0
1.50000,5740.0
1.51000,5424.0
1.52000,5213.0
1.53000,4973.0
1.54000,4771.0
1.55000,4600.0
1.56000,4519.0
1.57000,4277.0
1.58000,3929.0
1.59000,3992.0
1.60000,3724.0
1.61000,3599.0
1.62000,3396.0
1.63000,3149.0
1.64000,3092.0
1.65000,3082.0
1.66000,3032.0
1.67000,2887.0
1.68000,2800.0
1.69000,2564.0
1.70000,2565.0
1.71000,2434.0
1.72000,2339.0
1.73000,2213.0
1.74000,2229.0
1.75000,2164.0
1.76000,2058.0
1.77000,1905.0
1.78000,1879.0
1.79000,1745.0
1.80000,1648.0
1.81000,1602.0
1.82000,1575.0
1.83000,1424.0
1.84000,1440.0
1.85000,1325.0
1.86000,1317.0
1.87000,1265.0
1.88000,1192.0
1.89000,1173.0
1.90000,1090.0
1.91000,1021.0
1.92000,1058.0
1.93000,929.0
1.94000,953.0
1.95000,850.0
1.96000,768.0
1.97000,728.0
1.98000,678.0
1.99000,680.0
2.00000,681.0
2.01000,570.0
2.02000,552.0
2.03000,463.0
2.04000,457.0
2.05000,462.0
2.06000,453.0
2.07000,460.0
2.08000,405.0
2.09000,409.0
2.10000,422.0
2.11000,400.0
2.12000,399.0
2.13000,412.0
2.14000,402.0
2.15000,408.0
2.16000,430.0
2.17000,408.0
2.18000,452.0
2.19000,409.0
2.20000,443.0
2.21000,451.0
2.22000,461.0
2.23000,470.0
2.24000,460.0
2.25000,401.0
2.26000,414.0
2.27000,416.0
2.28000,420.0
2.29000,390.0
2.30000,419.0
2.31000,369.0
2.32000,389.0
2.33000,383.0
2.34000,391.0
2.35000,331.0
2.36000,394.0
2.37000,385.0
2.38000,338.0
2.39000,344.0
2.40000,328.0
2.41000,325.0
2.42000,306.0
2.43000,293.0
2.44000,272.0
2.45000,273.0
2.46000,274.0
2.47000,255.0
2.48000,242.0
2.49000,233.0
2.50000,220.0
2.51000,231.0
2.52000,204.0
2.53000,182.0
2.54000,192.0
2.55000,154.0
2.56000,151.0
2.57000,189.0
2.58000,163.0
2.59000,153.0
2.60000,133.0
2.61000,120.0
2.62000,124.0
2.63000,143.0
2.64000,124.0
2.65000,97.0
2.66000,110.0
2.67000,126.0
2.68000,111.0
2.69000,99.0
2.70000,111.0
2.71000,100.0
2.72000,118.0
2.73000,95.0
2.74000,74.0
2.75000,97.0
2.76000,81.0
2.77000,99.0
2.78000,67.0
2.79000,81.0
2.80000,73.0
2.81000,60.0
2.82000,69.0
2.83000,53.0
2.84000,65.0
2.85000,70.0
2.86000,69.0
2.87000,57.0
2.88000,50.0
2.89000,63.0
2.90000,37.0
2.91000,45.0
2.92000,28.0
2.93000,27.0
2.94000,36.0
2.95000,22.0
2.96000,26.0
2.97000,25.0
2.98000,17.0
2.99000,27.0
3.00000,17.0
3.01000,20.0
3.02000,25.0
3.03000,18.0
3.04000,24.0
3.05000,22.0
3.06000,6.0
3.07000,17.0
3.08000,22.0
3.09000,9.0
3.10000,13.0
3.11000,13.0
3.12000,19.0
3.13000,14.0
3.14000,17.0
3.15000,12.0
3.16000,18.0
3.17000,20.0
3.18000,17.0
3.19000,12.0
3.20000,16.0
3.21000,17.0
3.22000,12.0
3.23000,20.0
3.24000,17.0
3.25000,17.0
3.26000,19.0
3.27000,15.0
3.28000,19.0
3.29000,8.0
3.30000,18.0
3.31000,28.0
3.32000,23.0
3.33000,20.0
3.34000,20.0
3.35000,13.0
3.36000,16.0
3.37000,17.0
3.38000,19.0
3.39000,10.0
3.40000,10.0
3.41000,11.0
3.42000,8.0
3.43000,16.0
3.44000,15.0
3.45000,17.0
3.46000,11.0
3.47000,8.0
3.48000,7.0
3.49000,4.0
3.50000,3.0
3.51000,10.0
3.52000,7.0
3.53000,4.0
3.54000,12.0
3.55000,10.0
3.56000,8.0
3.57000,6.0
3.58000,6.0
3.59000,7.0
3.60000,3.0
3.61000,4.0
3.62000,4.0
3.63000,7.0
3.64000,1.0
3.65000,7.0
3.66000,4.0
3.67000,6.0
3.68000,4.0
3.69000,4.0
3.70000,4.0
3.71000,2.0
3.72000,2.0
3.73000,7.0
3.74000,2.0
3.75000,10.0
3.76000,2.0
3.77000,6.0
3.78000,7.0
3.79000,4.0
3.80000,3.0
3.81000,3.0
3.82000,4.0
3.83000,3.0
3.84000,5.0
3.85000,3.0
3.86000,3.0
3.87000,3.0
3.88000,4.0
3.89000,5.0
3.90000,2.0
3.91000,1.0
3.92000,2.0
3.93000,2.0
3.94000,2.0
3.95000,2.0
3.96000,3.0
3.97000,2.0
3.98000,0.0
3.99000,3.0
4.00000,2.0
4.01000,1.0
4.02000,2.0
4.03000,1.0
4.04000,2.0
4.05000,2.0
4.06000,0.0
4.07000,1.0
4.08000,2.0
4.09000,3.0
4.10000,3.0
4.11000,1.0
4.12000,1.0
4.13000,2.0
4.14000,0.0
4.15000,2.0
4.16000,0.0
4.17000,0.0
4.18000,4.0
4.19000,3.0
4.20000,4.0
4.21000,0.0
4.22000,1.0
4.23000,1.0
4.24000,1.0
4.25000,2.0
4.26000,0.0
4.27000,2.0
4.28000,1.0
4.29000,1.0
4.30000,1.0
4.31000,1.0
4.32000,1.0
4.33000,2.0
4.34000,4.0
4.35000,1.0
4.36000,2.0
4.37000,1.0
4.38000,1.0
4.39000,1.0
4.40000,5.0
4.41000,0.0
4.42000,1.0
4.43000,2.0
4.44000,4.0
4.45000,2.0
4.46000,1.0
4.47000,2.0
4.48000,1.0
4.49000,3.0
4.50000,2.0
4.51000,3.0
4.52000,5.0
4.53000,1.0
4.54000,0.0
4.55000,4.0
4.56000,0.0
4.57000,2.0
4.58000,1.0
4.59000,0.0
4.60000,2.0
4.61000,2.0
4.62000,1.0
4.63000,0.0
4.64000,3.0
4.65000,1.0
4.66000,1.0
4.67000,6.0
4.68000,1.0
4.69000,4.0
4.70000,1.0
4.71000,1.0
4.72000,2.0
4.73000,1.0
4.74000,2.0
4.75000,2.0
4.76000,5.0
4.77000,3.0
4.78000,1.0
4.79000,2.0
4.80000,5.0
4.81000,4.0
4.82000,0.0
4.83000,2.0
4.84000,2.0
4.85000,1.0
4.86000,3.0
4.87000,3.0
4.88000,1.0
4.89000,1.0
4.90000,2.0
4.91000,1.0
4.92000,1.0
4.93000,3.0
4.94000,3.0
4.95000,1.0
4.96000,2.0
4.97000,2.0
4.98000,2.0
4.99000,2.0
5.00000,0.0
5.01000,1.0
5.02000,2.0
5.03000,2.0
5.04000,2.0
5.05000,0.0
5.06000,1.0
5.07000,1.0
5.08000,2.0
5.09000,3.0
5.10000,3.0
5.11000,1.0
5.12000,1.0
5.13000,1.0
5.14000,0.0
5.15000,1.0
5.16000,2.0
5.17000,0.0
5.18000,1.0
5.19000,1.0
5.20000,1.0
5.21000,1.0
5.22000,2.0
5.23000,2.0
5.24000,2.0
5.25000,3.0
5.26000,0.0
5.27000,1.0
5.28000,2.0
5.29000,4.0
5.30000,2.0
5.31000,0.0
5.32000,4.0
5.33000,2.0
5.34000,4.0
5.35000,2.0
5.36000,0.0
5.37000,3.0
5.38000,1.0
5.39000,1.0
5.40000,0.0
5.41000,0.0
5.42000,3.0
5.43000,3.0
5.44000,3.0
5.45000,3.0
5.46000,0.0
5.47000,2.0
5.48000,1.0
5.49000,0.0
5.50000,2.0
5.51000,2.0
5.52000,2.0
5.53000,2.0
5.54000,3.0
5.55000,1.0
5.56000,0.0
5.57000,0.0
5.58000,2.0
5.59000,1.0
5.60000,0.0
5.61000,2.0
5.62000,2.0
5.63000,1.0
5.64000,1.0
5.65000,1.0
5.66000,1.0
5.67000,1.0
5.68000,2.0
5.69000,3.0
5.70000,1.0
5.71000,2.0
5.72000,4.0
5.73000,1.0
5.74000,0.0
5.75000,2.0
5.76000,0.0
5.77000,3.0
5.78000,0.0
5.79000,0.0
5.80000,3.0
5.81000,1.0
5.82000,2.0
5.83000,3.0
5.84000,2.0
5.85000,0.0
5.86000,2.0
5.87000,1.0
5.88000,0.0
5.89000,3.0
5.90000,0.0
5.91000,5.0
5.92000,2.0
5.93000,0.0
5.94000,3.0
5.95000,2.0
5.96000,2.0
5.97000,2.0
5.98000,2.0
5.99000,1.0
