Angle,Intensity
3.50000,14.0
3.51000,9.0
3.52000,9.0
3.53000,11.0
3.54000,3.0
3.55000,3.0
3.56000,5.0
3.57000,8.0
3.58000,2.0
3.59000,10.0
3.60000,13.0
3.61000,6.0
3.62000,4.0
3.63000,8.0
3.64000,6.0
3.65000,8.0
3.66000,5.0
3.67000,4.0
3.68000,6.0
3.69000,3.0
3.70000,6.0
3.71000,5.0
3.72000,8.0
3.73000,1.0
3.74000,5.0
3.75000,6.0
3.76000,8.0
3.77000,5.0
3.78000,4.0
3.79000,4.0
3.80000,2.0
3.81000,4.0
3.82000,4.0
3.83000,4.0
3.84000,2.0
3.85000,12.0
3.86000,2.0
3.87000,4.0
3.88000,2.0
3.89000,6.0
3.90000,2.0
3.91000,1.0
3.92000,2.0
3.93000,2.0
3.94000,0.0
3.95000,1.0
3.96000,2.0
3.97000,3.0
3.98000,5.0
3.99000,0.0
4.00000,3.0
4.01000,1.0
4.02000,2.0
4.03000,4.0
4.04000,3.0
4.05000,5.0
4.06000,2.0
4.07000,0.0
4.08000,1.0
4.09000,2.0
4.10000,5.0
4.11000,1.0
4.12000,3.0
4.13000,4.0
4.14000,1.0
4.15000,4.0
4.16000,1.0
4.17000,3.0
4.18000,2.0
4.19000,4.0
4.20000,2.0
4.21000,3.0
4.22000,2.0
4.23000,2.0
4.24000,0.0
4.25000,0.0
4.26000,2.0
4.27000,0.0
4.28000,3.0
4.29000,1.0
4.30000,3.0
4.31000,4.0
4.32000,2.0
4.33000,1.0
4.34000,2.0
4.35000,1.0
4.36000,0.0
4.37000,2.0
4.38000,4.0
4.39000,4.0
4.40000,0.0
4.41000,0.0
4.42000,0.0
4.43000,2.0
4.44000,3.0
4.45000,1.0
4.46000,3.0
4.47000,1.0
4.48000,3.0
4.49000,0.0
4.50000,4.0
4.51000,2.0
4.52000,4.0
4.53000,2.0
4.54000,0.0
4.55000,1.0
4.56000,2.0
4.57000,1.0
4.58000,1.0
4.59000,4.0
4.60000,2.0
4.61000,1.0
4.62000,1.0
4.63000,1.0
4.64000,1.0
4.65000,1.0
4.66000,1.0
4.67000,2.0
4.68000,1.0
4.69000,0.0
4.70000,1.0
4.71000,1.0
4.72000,3.0
4.73000,2.0
4.74000,0.0
4.75000,0.0
4.76000,0.0
4.77000,0.0
4.78000,1.0
4.79000,2.0
4.80000,3.0
4.81000,1.0
4.82000,0.0
4.83000,0.0
4.84000,2.0
4.85000,0.0
4.86000,1.0
4.87000,2.0
4.88000,1.0
4.89000,2.0
4.90000,2.0
4.91000,1.0
4.92000,1.0
4.93000,0.0
4.94000,3.0
4.95000,3.0
4.96000,2.0
4.97000,1.0
4.98000,0.0
4.99000,2.0
5.00000,3.0
5.01000,2.0
5.02000,3.0
5.03000,2.0
5.04000,1.0
5.05000,0.0
5.06000,1.0
5.07000,3.0
5.08000,1.0
5.09000,4.0
5.10000,4.0
5.11000,1.0
5.12000,2.0
5.13000,1.0
5.14000,0.0
5.15000,2.0
5.16000,2.0
5.17000,1.0
5.18000,1.0
5.19000,0.0
5.20000,1.0
5.21000,0.0
5.22000,2.0
5.23000,0.0
5.24000,2.0
5.25000,1.0
5.26000,3.0
5.27000,0.0
5.28000,0.0
5.29000,2.0
5.30000,2.0
5.31000,3.0
5.32000,2.0
5.33000,0.0
5.34000,2.0
5.35000,1.0
5.36000,1.0
5.37000,0.0
5.38000,1.0
5.39000,3.0
5.40000,2.0
5.41000,1.0
5.42000,1.0
5.43000,0.0
5.44000,2.0
5.45000,1.0
5.46000,2.0
5.47000,1.0
5.48000,2.0
5.49000,1.0
5.50000,1.0
5.51000,1.0
5.52000,0.0
5.53000,4.0
5.54000,1.0
5.55000,4.0
5.56000,2.0
5.57000,1.0
5.58000,3.0
5.59000,5.0
5.60000,2.0
5.61000,0.0
5.62000,0.0
5.63000,3.0
5.64000,5.0
5.65000,2.0
5.66000,3.0
5.67000,0.0
5.68000,0.0
5.69000,1.0
5.70000,0.0
5.71000,0.0
5.72000,1.0
5.73000,2.0
5.74000,2.0
5.75000,2.0
5.76000,5.0
5.77000,1.0
5.78000,2.0
5.79000,3.0
5.80000,3.0
5.81000,0.0
5.82000,2.0
5.83000,0.0
5.84000,1.0
5.85000,0.0
5.86000,1.0
5.87000,5.0
5.88000,1.0
5.89000,1.0
5.90000,3.0
5.91000,3.0
5.92000,3.0
5.93000,3.0
5.94000,2.0
5.95000,3.0
5.96000,0.0
5.97000,0.0
5.98000,2.0
5.99000,1.0
