Angle,Intensity
0.21000,16552144.0
0.22000,16857660.0
0.23000,17288672.0
0.24000,17633096.0
0.25000,17912372.0
0.26000,18139610.0
0.27000,18381742.0
0.28000,18715374.0
0.29000,19061754.0
0.30000,19114584.0
0.31000,19204840.0
0.32000,19272368.0
0.33000,19437672.0
0.34000,19542230.0
0.35000,19551336.0
0.36000,19550300.0
0.37000,19625062.0
0.38000,19565706.0
0.39000,19552956.0
0.40000,19561098.0
0.41000,19412906.0
0.42000,19377704.0
0.43000,19385776.0
0.44000,19345852.0
0.45000,19216980.0
0.46000,19195112.0
0.47000,19136966.0
0.48000,19002376.0
0.49000,18939388.0
0.50000,18757992.0
0.51000,18731220.0
0.52000,18573480.0
0.53000,18299030.0
0.54000,18023168.0
0.55000,17769052.0
0.56000,17593396.0
0.57000,17375318.0
0.58000,17078546.0
0.59000,16633792.0
0.60000,16294572.0
0.61000,15872768.0
0.62000,15429483.0
0.63000,14930123.0
0.64000,14302377.0
0.65000,13611506.0
0.66000,12774999.0
0.67000,11818257.0
0.68000,10665960.0
0.69000,9417531.0
0.70000,8025219.0
0.71000,6620784.0
0.72000,5185681.0
0.73000,3824782.0
0.74000,2638303.0
0.75000,1748138.0
0.76000,1157683.0
0.77000,848559.0
0.78000,768946.0
0.79000,835679.0
0.80000,978203.0
0.81000,1116320.0
0.82000,1231189.0
0.83000,1288604.0
0.84000,1275490.0
0.85000,1221881.0
0.86000,1121601.0
0.87000,992755.0
0.88000,839300.0
0.89000,669119.0
0.90000,513686.0
0.91000,377189.0
0.92000,256052.0
0.93000,159653.0
0.94000,87407.0
0.95000,41144.0
0.96000,17147.0
0.97000,10490.0
0.98000,17778.0
0.99000,34408.0
1.00000,55891.0
1.01000,79687.0
1.02000,102254.0
1.03000,121874.0
1.04000,134091.0
1.05000,142616.0
1.06000,145114.0
1.07000,144334.0
1.08000,138055.0
1.09000,128255.0
1.10000,115053.0
1.11000,99977.0
1.12000,84197.0
1.13000,69083.0
1.14000,54904.0
1.15000,42115.0
1.16000,31608.0
1.17000,22478.0
1.18000,15117.0
1.19000,10011.0
1.20000,6453.0
1.21000,4862.0
1.22000,4346.0
1.23000,5011.0
1.24000,6447.0
1.25000,8368.0
1.26000,10375.0
1.27000,12495.0
1.28000,14353.0
1.29000,16221.0
1.30000,17208.0
