Angle,Intensity
0.20500,20220968.0
0.21500,20739906.0
0.22500,21383588.0
0.23500,22063980.0
0.24500,22753832.0
0.25500,23235868.0
0.26500,23591904.0
0.27500,23943244.0
0.28500,24394628.0
0.29500,24670916.0
0.30500,24622612.0
0.31500,24481880.0
0.32500,24878524.0
0.33500,25520216.0
0.34500,26184166.0
0.35500,26367084.0
0.36500,26604860.0
0.37500,26948546.0
0.38500,27292772.0
0.39500,27567978.0
0.40500,27405398.0
0.41500,27346924.0
0.42500,27873622.0
0.43500,28588988.0
0.44500,29124516.0
0.45500,29498896.0
0.46500,29820882.0
0.47500,29914896.0
0.48500,30029114.0
0.49500,30579560.0
0.50500,30334338.0
0.51500,30197134.0
0.52500,30131518.0
0.53500,30105056.0
0.54500,29922264.0
0.55500,29586938.0
0.56500,29145662.0
0.57500,28552312.0
0.58500,27830752.0
0.59500,27063958.0
0.60500,26187008.0
0.61500,24923568.0
0.62500,23751104.0
0.63500,22387052.0
0.64500,20765548.0
0.65500,19260736.0
0.66500,17413424.0
0.67500,15259896.0
0.68500,12903715.0
0.69500,10387734.0
0.70500,8018602.0
0.71500,5971445.0
0.72500,4398802.0
0.73500,3334160.0
0.74500,2520478.0
0.75500,1796144.0
0.76500,1177934.0
0.77500,732551.0
0.78500,521062.0
0.79500,494525.0
0.80500,550223.0
0.81500,578442.0
0.82500,532725.0
0.83500,412518.0
0.84500,261652.0
0.85500,130426.0
0.86500,47787.0
0.87500,23338.0
0.88500,47003.0
0.89500,96315.0
0.90500,143686.0
0.91500,173155.0
0.92500,175354.0
0.93500,150740.0
0.94500,115844.0
0.95500,77134.0
0.96500,46246.0
0.97500,27778.0
0.98500,23699.0
0.99500,30824.0
1.00500,44001.0
1.01500,57856.0
1.02500,67168.0
1.03500,71351.0
1.04500,68780.0
1.05500,61698.0
1.06500,52784.0
1.07500,42817.0
1.08500,34356.0
1.09500,29469.0
1.10500,27332.0
1.11500,28066.0
1.12500,30426.0
1.13500,33864.0
1.14500,36324.0
1.15500,38225.0
1.16500,38669.0
1.17500,37126.0
1.18500,34774.0
