Angle,Intensity
0.22000,22907244.0
0.23000,23621774.0
0.24000,24232664.0
0.25000,24688368.0
0.26000,24970902.0
0.27000,25322862.0
0.28000,25751814.0
0.29000,26168600.0
0.30000,26499350.0
0.31000,26789582.0
0.32000,27150598.0
0.33000,27581266.0
0.34000,28014768.0
0.35000,28158320.0
0.36000,28288448.0
0.37000,28456126.0
0.38000,28640680.0
0.39000,28948320.0
0.40000,29090462.0
0.41000,29414010.0
0.42000,29618146.0
0.43000,29813230.0
0.44000,29800652.0
0.45000,29625094.0
0.46000,29413788.0
0.47000,29291628.0
0.48000,28809656.0
0.49000,28302288.0
0.50000,27770590.0
0.51000,27033480.0
0.52000,26337198.0
0.53000,25709962.0
0.54000,25098400.0
0.55000,24564280.0
0.56000,24372752.0
0.57000,23760408.0
0.58000,23001484.0
0.59000,22246964.0
0.60000,21561608.0
0.61000,20912412.0
0.62000,20244352.0
0.63000,19292322.0
0.64000,18268748.0
0.65000,17214812.0
0.66000,16182034.0
0.67000,14873764.0
0.68000,13279702.0
0.69000,11487066.0
0.70000,9621944.0
0.71000,7672846.0
0.72000,5772829.0
0.73000,4229582.0
0.74000,3194541.0
0.75000,2660060.0
0.76000,2426132.0
0.77000,2262728.0
0.78000,2053595.0
0.79000,1711025.0
0.80000,1300912.0
0.81000,883805.0
0.82000,525407.0
0.83000,265955.0
0.84000,134977.0
0.85000,116797.0
0.86000,174014.0
0.87000,272474.0
0.88000,374560.0
0.89000,446036.0
0.90000,475441.0
0.91000,459288.0
0.92000,410644.0
0.93000,333744.0
0.94000,245653.0
0.95000,161833.0
0.96000,93910.0
0.97000,46244.0
0.98000,20511.0
0.99000,16413.0
1.00000,28758.0
1.01000,51196.0
1.02000,77295.0
1.03000,102121.0
1.04000,120507.0
1.05000,132195.0
1.06000,134077.0
1.07000,127943.0
1.08000,115366.0
1.09000,97693.0
1.10000,80597.0
1.11000,63248.0
1.12000,48040.0
1.13000,35309.0
1.14000,27325.0
1.15000,23589.0
1.16000,23140.0
1.17000,25853.0
1.18000,30098.0
1.19000,35659.0
1.20000,40989.0
1.21000,45131.0
1.22000,47887.0
1.23000,49195.0
1.24000,47760.0
1.25000,45732.0
1.26000,41828.0
1.27000,37502.0
1.28000,32133.0
1.29000,27497.0
1.30000,23597.0
1.31000,20088.0
1.32000,17307.0
1.33000,15885.0
1.34000,15306.0
1.35000,15553.0
1.36000,16297.0
1.37000,17009.0
1.38000,18290.0
1.39000,19242.0
1.40000,19724.0
1.41000,20146.0
1.42000,20136.0
1.43000,19511.0
1.44000,18385.0
1.45000,17107.0
1.46000,15459.0
1.47000,13583.0
1.48000,12272.0
1.49000,11095.0
1.50000,9961.0
1.51000,9084.0
1.52000,8474.0
1.53000,8124.0
1.54000,8001.0
1.55000,8199.0
1.56000,8176.0
1.57000,8513.0
1.58000,8719.0
1.59000,8796.0
1.60000,8893.0
1.61000,8525.0
1.62000,8228.0
1.63000,7983.0
1.64000,7334.0
1.65000,6885.0
1.66000,6597.0
1.67000,5943.0
1.68000,5646.0
1.69000,4989.0
1.70000,4907.0
1.71000,4562.0
1.72000,4466.0
1.73000,4306.0
1.74000,4100.0
1.75000,4168.0
1.76000,4180.0
1.77000,4238.0
1.78000,4306.0
1.79000,4299.0
1.80000,4303.0
1.81000,4284.0
1.82000,4181.0
1.83000,4026.0
1.84000,3804.0
1.85000,3563.0
1.86000,3399.0
1.87000,3266.0
1.88000,3067.0
1.89000,2813.0
1.90000,2594.0
1.91000,2497.0
1.92000,2527.0
1.93000,2481.0
1.94000,2257.0
1.95000,2379.0
1.96000,2276.0
1.97000,2296.0
1.98000,2232.0
1.99000,2292.0
2.00000,2244.0
2.01000,2237.0
2.02000,2119.0
2.03000,2131.0
2.04000,2068.0
2.05000,1921.0
2.06000,1843.0
2.07000,1793.0
2.08000,1665.0
2.09000,1602.0
2.10000,1607.0
2.11000,1470.0
2.12000,1394.0
2.13000,1401.0
2.14000,1373.0
2.15000,1305.0
2.16000,1299.0
2.17000,1249.0
2.18000,1254.0
2.19000,1282.0
2.20000,1181.0
2.21000,1179.0
2.22000,1080.0
2.23000,1119.0
2.24000,1088.0
2.25000,1030.0
2.26000,1026.0
2.27000,1042.0
2.28000,978.0
2.29000,928.0
2.30000,860.0
2.31000,811.0
2.32000,792.0
2.33000,782.0
2.34000,759.0
2.35000,769.0
2.36000,737.0
2.37000,793.0
2.38000,681.0
2.39000,725.0
2.40000,724.0
2.41000,687.0
2.42000,646.0
2.43000,637.0
2.44000,607.0
2.45000,563.0
2.46000,550.0
2.47000,580.0
2.48000,556.0
2.49000,543.0
2.50000,475.0
2.51000,533.0
2.52000,471.0
2.53000,499.0
2.54000,418.0
2.55000,398.0
2.56000,432.0
2.57000,398.0
2.58000,373.0
2.59000,382.0
2.60000,351.0
2.61000,395.0
2.62000,328.0
2.63000,345.0
2.64000,347.0
2.65000,325.0
2.66000,330.0
2.67000,291.0
2.68000,307.0
2.69000,316.0
2.70000,271.0
2.71000,289.0
2.72000,265.0
2.73000,244.0
2.74000,243.0
2.75000,212.0
2.76000,216.0
2.77000,220.0
2.78000,207.0
2.79000,189.0
2.80000,197.0
2.81000,178.0
2.82000,197.0
2.83000,198.0
2.84000,176.0
2.85000,192.0
