Angle,Intensity
1.2024000000,0.0006920060
1.2084200000,0.0005744784
1.2144300000,0.0006791966
1.2204400000,0.0005582536
1.2264500000,0.0006235267
1.2324600000,0.0005794504
1.2384800000,0.0005482811
1.2444900000,0.0006032854
1.2505000000,0.0004925299
1.2565100000,0.0005939497
1.2625200000,0.0004812930
1.2685400000,0.0005420886
1.2745500000,0.0005060261
1.2805600000,0.0004722034
1.2865700000,0.0005310031
1.2925900000,0.0004236044
1.2986000000,0.0005212986
1.3046100000,0.0004193300
1.3106200000,0.0004704445
1.3166300000,0.0004476565
1.3226500000,0.0004056660
1.3286600000,0.0004714513
1.3346700000,0.0003658673
1.3406800000,0.0004582372
1.3466900000,0.0003699206
1.3527100000,0.0004066862
1.3587200000,0.0004011773
1.3647300000,0.0003476079
1.3707400000,0.0004212817
1.3767500000,0.0003182692
1.3827700000,0.0004021698
1.3887800000,0.0003312101
1.3947900000,0.0003494735
1.4008000000,0.0003637864
1.4068100000,0.0002975753
1.4128300000,0.0003775412
1.4188400000,0.0002801787
1.4248500000,0.0003510543
1.4308600000,0.0003014895
1.4368700000,0.0002981308
1.4428900000,0.0003328186
1.4489000000,0.0002555789
1.4549100000,0.0003376712
1.4609200000,0.0002510378
1.4669300000,0.0003035644
1.4729500000,0.0002789202
1.4789600000,0.0002526626
1.4849700000,0.0003056759
1.4909800000,0.0002218812
1.4969900000,0.0002996747
1.5030100000,0.0002300446
1.5090200000,0.0002592216
1.5150300000,0.0002613470
1.5210400000,0.0002136614
1.5270500000,0.0002799330
1.5330700000,0.0001966737
1.5390800000,0.0002623269
1.5450900000,0.0002158822
1.5511000000,0.0002184261
1.5571100000,0.0002463228
1.5631300000,0.0001820363
1.5691400000,0.0002535915
1.5751500000,0.0001797146
1.5811600000,0.0002253670
1.5871700000,0.0002065851
1.5931900000,0.0001823361
1.5992000000,0.0002313171
1.6052100000,0.0001586176
1.6112200000,0.0002254211
1.6172300000,0.0001700038
1.6232500000,0.0001895916
1.6292600000,0.0001995965
1.6352700000,0.0001525286
1.6412800000,0.0002141133
1.6472900000,0.0001436748
1.6533100000,0.0001952863
1.6593200000,0.0001656021
1.6653300000,0.0001567219
1.6713400000,0.0001920690
1.6773500000,0.0001304952
1.6833700000,0.0001933192
1.6893800000,0.0001364799
1.6953900000,0.0001643035
1.7014000000,0.0001637204
1.7074100000,0.0001290071
1.7134300000,0.0001814371
1.7194400000,0.0001170132
1.7254500000,0.0001688064
1.7314600000,0.0001350932
1.7374700000,0.0001346992
1.7434900000,0.0001611438
1.7495000000,0.0001085624
1.7555100000,0.0001660523
1.7615200000,0.0001116116
1.7675300000,0.0001419252
1.7735500000,0.0001364729
1.7795600000,0.0001093024
1.7855700000,0.0001549200
1.7915800000,0.0000966144
1.7976000000,0.0001457540
1.8036100000,0.0001123170
1.8096200000,0.0001153323
1.8156300000,0.0001370461
1.8216400000,0.0000907615
1.8276600000,0.0001431754
1.8336700000,0.0000928681
1.8396800000,0.0001221122
1.8456900000,0.0001158443
1.8517000000,0.0000923491
1.8577200000,0.0001335459
1.8637300000,0.0000806181
1.8697400000,0.0001257759
1.8757500000,0.0000952487
1.8817600000,0.0000981591
1.8877800000,0.0001183011
1.8937900000,0.0000759935
1.8998000000,0.0001239871
1.9058100000,0.0000786103
1.9118200000,0.0001045501
1.9178400000,0.0001002093
1.9238500000,0.0000776073
1.9298600000,0.0001162348
1.9358700000,0.0000679407
1.9418800000,0.0001083906
1.9479000000,0.0000824531
1.9539100000,0.0000828991
1.9599200000,0.0001036216
1.9659300000,0.0000636739
1.9719400000,0.0001077226
1.9779600000,0.0000677797
1.9839700000,0.0000889294
1.9899800000,0.0000883236
1.9959900000,0.0000648060
2.0020000000,0.0001019943
2.0080200000,0.0000579493
2.0140300000,0.0000931006
2.0200400000,0.0000729046
2.0260500000,0.0000693608
2.0320600000,0.0000919403
2.0380800000,0.0000534980
2.0440900000,0.0000936670
2.0501000000,0.0000596759
2.0561100000,0.0000749809
2.0621200000,0.0000792008
2.0681400000,0.0000538117
2.0741500000,0.0000899664
2.0801600000,0.0000502479
2.0861700000,0.0000794665
2.0921800000,0.0000658256
2.0982000000,0.0000574369
2.1042100000,0.0000823674
2.1102200000,0.0000453016
2.1162300000,0.0000812179
2.1222400000,0.0000537770
2.1282600000,0.0000625045
2.1342700000,0.0000720378
2.1402800000,0.0000445796
2.1462900000,0.0000794391
2.1523000000,0.0000445602
2.1583200000,0.0000671577
